county,State,per capita income,median household income,median family income,population,number of households,County_State,Counts,website_count,OrganicYN,BakedgoodsYN,CheeseYN,CraftsYN,FlowersYN,EggsYN,SeafoodYN,HerbsYN,VegetablesYN,HoneyYN,JamsYN,MapleYN,MeatYN,NurseryYN,NutsYN,PlantsYN,PoultryYN,PreparedYN,SoapYN,TreesYN,WineYN,CoffeeYN,BeansYN,FruitsYN,GrainsYN,JuicesYN,MushroomsYN,PetFoodYN,TofuYN,WildHarvestedYN
New York,New York,"$62,498 ","$69,659 ","$84,627 ","1,605,272","736,192","New York, New York",63,47,24.0,41.0,27.0,5.0,13.0,25.0,18.0,24.0,53.0,28.0,29.0,12.0,24.0,0.0,4.0,15.0,23.0,15.0,8.0,1.0,10.0,4.0,0.0,44.0,1.0,5.0,2.0,0.0,1.0,3.0
Arlington,Virginia,"$62,018 ","$103,208 ","$139,244 ","214,861","94,454","Arlington, Virginia",12,11,3.0,10.0,6.0,2.0,7.0,8.0,2.0,7.0,10.0,3.0,8.0,1.0,9.0,0.0,0.0,3.0,9.0,10.0,4.0,1.0,1.0,4.0,0.0,10.0,0.0,8.0,1.0,2.0,0.0,0.0
Marin,California,"$56,791 ","$90,839 ","$117,357 ","254,643","102,912","Marin, California",15,10,8.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,3.0,6.0,0.0,7.0,6.0,7.0,9.0,7.0,5.0,6.0,8.0,6.0,9.0,8.0,7.0,6.0,4.0,5.0,2.0
Pitkin,Colorado,"$51,814 ","$72,745 ","$93,981 ","17,173","7,507","Pitkin, Colorado",1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Alamos,New Mexico,"$51,044 ","$106,686 ","$124,979 ","17,979","7,590","Los Alamos, New Mexico",1,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairfax,Virginia,"$50,532 ","$110,292 ","$128,596 ","1,101,071","389,908","Fairfax, Virginia",25,24,3.0,24.0,18.0,3.0,13.0,20.0,7.0,18.0,24.0,23.0,21.0,3.0,21.0,0.0,3.0,13.0,19.0,19.0,5.0,2.0,3.0,10.0,1.0,24.0,1.0,18.0,3.0,5.0,0.0,1.0
Hunterdon,New Jersey,"$50,349 ","$106,143 ","$125,828 ","127,047","46,816","Hunterdon, New Jersey",5,3,4.0,4.0,2.0,2.0,4.0,3.0,0.0,3.0,4.0,4.0,4.0,1.0,3.0,0.0,2.0,2.0,3.0,4.0,3.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
Montgomery,Maryland,"$49,038 ","$98,221 ","$117,408 ","989,474","360,563","Montgomery, Maryland",20,19,8.0,16.0,11.0,9.0,16.0,14.0,8.0,16.0,17.0,16.0,15.0,2.0,13.0,2.0,4.0,15.0,10.0,15.0,11.0,1.0,8.0,9.0,2.0,13.0,2.0,10.0,7.0,5.0,2.0,3.0
Morris,New Jersey,"$48,814 ","$98,633 ","$117,683 ","495,261","179,665","Morris, New Jersey",11,10,5.0,9.0,9.0,5.0,8.0,9.0,5.0,9.0,11.0,9.0,8.0,3.0,8.0,0.0,6.0,4.0,8.0,7.0,8.0,0.0,6.0,3.0,0.0,9.0,1.0,7.0,4.0,1.0,0.0,2.0
Fairfield,Connecticut,"$48,721 ","$82,283 ","$104,250 ","926,233","332,655","Fairfield, Connecticut",29,11,4.0,8.0,7.0,3.0,8.0,7.0,4.0,8.0,8.0,8.0,7.0,6.0,5.0,1.0,0.0,6.0,5.0,6.0,7.0,3.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,3.0,0.0,0.0
San Francisco,California,"$48,486 ","$75,604 ","$90,116 ","817,501","345,344","San Francisco, California",27,24,23.0,18.0,16.0,2.0,15.0,16.0,13.0,21.0,23.0,15.0,15.0,1.0,12.0,0.0,18.0,3.0,10.0,18.0,9.0,3.0,4.0,4.0,7.0,17.0,5.0,11.0,11.0,0.0,2.0,1.0
Howard,Maryland,"$48,172 ","$109,865 ","$128,657 ","293,821","106,142","Howard, Maryland",6,4,1.0,6.0,6.0,1.0,5.0,6.0,0.0,5.0,6.0,6.0,6.0,2.0,5.0,5.0,0.0,5.0,5.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Westchester,New York,"$47,984 ","$81,946 ","$105,341 ","956,283","343,561","Westchester, New York",34,29,16.0,26.0,19.0,8.0,16.0,22.0,16.0,27.0,26.0,26.0,23.0,17.0,19.0,0.0,11.0,14.0,18.0,17.0,12.0,2.0,14.0,13.0,2.0,24.0,1.0,14.0,15.0,8.0,2.0,6.0
Somerset,New Jersey,"$47,803 ","$99,020 ","$117,393 ","326,207","115,531","Somerset, New Jersey",7,4,4.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,4.0,3.0,4.0,1.0,3.0,0.0,2.0,1.0,3.0,4.0,3.0,0.0,3.0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0
Nantucket,Massachusetts,"$47,331 ","$85,478 ","$92,500 ","10,224","4,069","Nantucket, Massachusetts",2,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Loudoun,Virginia,"$46,565 ","$122,238 ","$133,550 ","326,477","106,997","Loudoun, Virginia",9,8,4.0,7.0,4.0,6.0,7.0,7.0,2.0,6.0,7.0,5.0,7.0,3.0,7.0,0.0,3.0,4.0,6.0,4.0,6.0,2.0,2.0,5.0,0.0,7.0,2.0,3.0,2.0,5.0,0.0,2.0
San Mateo,California,"$45,732 ","$88,202 ","$105,844 ","729,543","257,941","San Mateo, California",18,18,14.0,11.0,7.0,2.0,10.0,9.0,10.0,11.0,16.0,12.0,6.0,0.0,7.0,1.0,9.0,8.0,5.0,11.0,5.0,4.0,1.0,3.0,5.0,13.0,2.0,6.0,6.0,1.0,3.0,1.0
Goochland,Virginia,"$45,039 ","$80,976 ","$92,042 ","21,565","8,058","Goochland, Virginia",3,3,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0
Norfolk,Massachusetts,"$44,692 ","$84,916 ","$108,943 ","677,296","257,451","Norfolk, Massachusetts",21,17,6.0,16.0,10.0,9.0,11.0,14.0,12.0,15.0,17.0,17.0,14.0,9.0,8.0,0.0,4.0,8.0,9.0,10.0,9.0,1.0,5.0,9.0,0.0,14.0,1.0,5.0,3.0,6.0,0.0,0.0
Douglas,Colorado,"$43,634 ","$101,591 ","$112,930 ","293,014","103,780","Douglas, Colorado",5,5,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0
Teton,Wyoming,"$43,444 ","$68,078 ","$83,558 ","21,575","7,583","Teton, Wyoming",3,2,2.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
Bergen,New Jersey,"$43,347 ","$83,794 ","$102,222 ","912,795","335,422","Bergen, New Jersey",12,8,4.0,10.0,9.0,6.0,7.0,8.0,3.0,6.0,9.0,8.0,8.0,4.0,5.0,1.0,7.0,6.0,5.0,7.0,7.0,3.0,1.0,6.0,2.0,8.0,4.0,5.0,4.0,5.0,3.0,4.0
Middlesex,Massachusetts,"$42,861 ","$82,090 ","$104,032 ","1,522,533","581,120","Middlesex, Massachusetts",60,43,24.0,44.0,37.0,29.0,29.0,42.0,33.0,40.0,48.0,40.0,36.0,29.0,37.0,2.0,10.0,19.0,33.0,40.0,35.0,3.0,24.0,30.0,5.0,45.0,8.0,20.0,9.0,15.0,3.0,5.0
Monmouth,New Jersey,"$42,749 ","$84,526 ","$105,971 ","629,735","233,909","Monmouth, New Jersey",10,8,3.0,6.0,4.0,3.0,7.0,4.0,3.0,6.0,8.0,8.0,6.0,1.0,1.0,0.0,4.0,5.0,2.0,2.0,7.0,2.0,2.0,2.0,0.0,7.0,0.0,3.0,1.0,3.0,1.0,2.0
Summit,Utah,"$42,462 ","$83,336 ","$95,879 ","37,232","13,627","Summit, Utah",2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Nassau,New York,"$42,400 ","$97,690 ","$112,874 ","1,343,765","441,955","Nassau, New York",21,13,8.0,9.0,6.0,2.0,9.0,11.0,3.0,7.0,14.0,10.0,7.0,6.0,0.0,3.0,0.0,8.0,0.0,0.0,8.0,1.0,5.0,2.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0
Mineral,Colorado,"$42,255 ","$47,083 ","$68,438 ",761,393,"Mineral, Colorado",1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Chester,Pennsylvania,"$42,210 ","$86,050 ","$105,278 ","503,075","184,788","Chester, Pennsylvania",13,12,6.0,11.0,9.0,8.0,9.0,10.0,3.0,12.0,11.0,11.0,11.0,7.0,10.0,1.0,2.0,9.0,9.0,7.0,11.0,3.0,7.0,5.0,3.0,9.0,5.0,5.0,7.0,5.0,1.0,2.0
Ozaukee,Wisconsin,"$42,041 ","$75,457 ","$92,262 ","86,708","34,108","Ozaukee, Wisconsin",3,2,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Clear Creek,Colorado,"$41,716 ","$67,259 ","$89,583 ","9,048","4,024","Clear Creek, Colorado",2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santa Clara,California,"$41,513 ","$91,702 ","$103,983 ","1,812,208","609,377","Santa Clara, California",37,31,32.0,31.0,19.0,9.0,28.0,21.0,21.0,19.0,32.0,26.0,14.0,1.0,18.0,6.0,22.0,21.0,19.0,29.0,13.0,19.0,2.0,6.0,6.0,23.0,7.0,7.0,12.0,0.0,3.0,0.0
Montgomery,Pennsylvania,"$41,472 ","$79,183 ","$99,587 ","804,621","307,488","Montgomery, Pennsylvania",12,10,6.0,8.0,6.0,5.0,5.0,5.0,1.0,6.0,8.0,7.0,7.0,5.0,5.0,0.0,0.0,5.0,4.0,5.0,7.0,1.0,4.0,6.0,0.0,6.0,0.0,2.0,4.0,4.0,0.0,1.0
Williamson,Tennessee,"$41,292 ","$89,779 ","$104,796 ","188,935","66,364","Williamson, Tennessee",5,4,1.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
San Miguel,Colorado,"$40,827 ","$63,594 ","$77,708 ","7,496","3,234","San Miguel, Colorado",3,3,1.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0
Anne Arundel,Maryland,"$40,415 ","$87,430 ","$101,268 ","544,426","199,904","Anne Arundel, Maryland",8,4,3.0,6.0,3.0,5.0,3.0,6.0,3.0,6.0,7.0,5.0,5.0,0.0,6.0,0.0,3.0,5.0,6.0,3.0,5.0,2.0,4.0,5.0,0.0,6.0,0.0,3.0,3.0,2.0,0.0,1.0
Putnam,New York,"$40,309 ","$95,117 ","$109,188 ","99,718","34,496","Putnam, New York",3,3,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Newport,Rhode Island,"$40,293 ","$71,713 ","$88,962 ","82,545","34,774","Newport, Rhode Island",5,5,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0,0.0,4.0,0.0,5.0,0.0,5.0,4.0,0.0,1.0,3.0
Delaware,Ohio,"$40,189 ","$89,757 ","$103,564 ","178,139","64,208","Delaware, Ohio",5,4,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Middlesex,Connecticut,"$39,992 ","$76,994 ","$98,501 ","165,690","66,141","Middlesex, Connecticut",14,9,2.0,7.0,5.0,7.0,7.0,5.0,2.0,7.0,7.0,7.0,6.0,7.0,5.0,0.0,1.0,5.0,3.0,7.0,6.0,1.0,0.0,5.0,1.0,6.0,0.0,1.0,4.0,2.0,0.0,0.0
