PRECINCT,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEFT,OTHER STATE LAWS,ASSAULT 3 & RELATED OFFENSES,ROBBERY,DANGEROUS DRUGS,OFFENSES INVOLVING FRAUD,PETIT LARCENY,FELONY ASSAULT,DANGEROUS WEAPONS,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,INTOXICATED/IMPAIRED DRIVING,INTOXICATED & IMPAIRED DRIVING,CRIMINAL MISCHIEF & RELATED OFFENSES,GRAND LARCENY,VEHICLE AND TRAFFIC LAWS,BURGLARY,OFFENSES AGAINST PUBLIC ADMINISTRATION,OTHER TRAFFIC INFRACTION,SEX CRIMES,ARSON,CRIMINAL TRESPASS,BURGLAR'S TOOLS,ALCOHOLIC BEVERAGE CONTROL LAW,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),FORGERY,OTHER STATE LAWS (NON PENAL LAW),ENDAN WELFARE INCOMP,OFF. AGNST PUB ORD SENSBLTY &,FRAUDS,PROSTITUTION & RELATED OFFENSES,OFFENSES AGAINST THE PERSON,POSSESSION OF STOLEN PROPERTY 5,OFFENSES AGAINST PUBLIC SAFETY,OFFENSES RELATED TO CHILDREN,ADMINISTRATIVE CODE,GRAND LARCENY OF MOTOR VEHICLE,DISORDERLY CONDUCT,RAPE,,POSSESSION OF STOLEN PROPERTY,FORCIBLE TOUCHING,F.C.A. P.I.N.O.S.,MURDER & NON-NEGL. MANSLAUGHTER,MOVING INFRACTIONS,"HOMICIDE-NEGLIGENT,UNCLASSIFIED",CRIMINAL MISCHIEF & RELATED OF,GAMBLING,HARRASSMENT 2,CHILD ABANDONMENT/NON SUPPORT 1,JOSTLING,ANTICIPATORY OFFENSES,FRAUDULENT ACCOSTING,OTHER STATE LAWS (NON PENAL LA,THEFT-FRAUD,ADMINISTRATIVE CODES,KIDNAPPING & RELATED OFFENSES,PARKING OFFENSES,LOITERING,LOITERING FOR DRUG PURPOSES,"LOITERING/GAMBLING (CARDS, DICE, ETC)",UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,ABORTION,NEW YORK CITY HEALTH CODE,CHILD ABANDONMENT/NON SUPPORT,ESCAPE 3,HOMICIDE-NEGLIGENT-VEHICLE,DISRUPTION OF A RELIGIOUS SERVICE,"UNDER THE INFLUENCE, DRUGS",HARASSMENT,FORTUNE TELLING,"LOITERING,BEGGING",OFFENSES AGAINST MARRIAGE UNCLASSIFIED,NYS LAWS-UNCLASSIFIED FELONY,MURDER & NON-NEGL. MANSLAUGHTE,OFFENSES AGAINST PUBLIC ADMINI,UNAUTHORIZED USE OF A VEHICLE,OTHER OFFENSES RELATED TO THEF,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,FOR OTHER AUTHORITIES,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,DISRUPTION OF A RELIGIOUS SERV,"LOITERING/GAMBLING (CARDS, DIC",KIDNAPPING,NYS LAWS-UNCLASSIFIED VIOLATION,UNLAWFUL POSS. WEAP. ON SCHOOL
105,4187,69,1001,8326,2126,11649,118,967,3210,2590,837,219,1289,2396,1211,3364,1198,1427,4023,504,38,562,47,54,224,1522,844,7,296,232,649,223,568,25,34,145,676,270,121,0,366,84,113,260,187,1,230,64,24,4,0,4,3,29,132,3,46,2,1,3,1,0,0,0,1,2,1,0,0,228,0,0,0,18,10,69,25,7,0,0,11,6,0,0,0,0,0
114,3882,2044,3706,9340,2319,14876,220,2847,3236,3092,1141,324,2294,3298,1649,3942,993,2817,3637,493,22,3321,127,79,211,972,474,2,208,261,517,400,1965,30,430,455,264,788,118,0,260,153,349,258,351,0,201,144,26,9,4,6,3,89,76,7,49,4,11,3,8,0,1,7,1,5,2,0,2,163,1,0,0,42,13,107,15,17,0,0,20,3,0,0,0,0,0
73,5836,8496,14536,11669,3258,36830,343,2773,5666,7088,1298,176,834,3021,1246,3997,1205,3574,5617,636,35,5055,101,69,127,2179,3108,6,180,671,1325,399,1803,34,128,612,445,754,133,0,364,98,104,360,94,1,278,728,72,20,1,4,7,122,92,5,55,5,18,35,15,0,0,18,4,8,1,0,0,275,0,0,0,22,18,170,13,122,1,9,5,4,0,0,1,0,0
18,964,4401,6684,4579,1242,8088,1259,5568,1536,949,644,61,806,1368,6530,1244,1295,1666,1315,303,18,1139,181,13,74,1567,4871,4,83,238,2168,371,4658,2,5,60,32,1468,48,0,353,271,129,45,58,1,114,55,40,1,47,9,339,27,364,1,21,0,6,15,4,3,0,2,0,4,5,8,0,188,0,0,0,6,5,84,4,120,0,7,19,1,0,0,0,0,1
9,1412,3458,2777,4427,1203,11508,191,2494,1717,1702,567,50,410,2098,1743,999,843,1540,794,229,27,3624,215,11,54,710,1272,7,97,142,196,242,4166,10,14,29,81,322,44,0,253,88,40,66,41,0,116,77,35,6,11,11,13,47,115,0,14,0,2,35,2,0,0,1,0,1,0,0,0,124,0,0,0,9,5,94,0,51,0,2,6,1,1,0,0,0,0
25,2673,11858,5680,6467,1912,33558,364,4795,3357,3795,1303,233,1591,1632,1124,4744,572,2757,2264,1426,16,5436,37,125,149,1764,3574,6,210,767,561,332,1930,26,15,220,165,608,915,0,315,325,55,235,175,4,187,406,54,4,6,33,5,303,71,0,27,1,3,14,22,1,0,16,1,9,2,0,0,177,0,0,0,31,22,163,9,69,0,12,11,1,0,0,0,0,0
23,2648,3970,4431,6970,2031,17356,262,2094,2730,3263,913,95,645,1539,956,2935,521,3171,1731,444,13,8417,39,142,104,1051,857,4,228,332,132,399,730,16,22,278,72,632,77,0,208,83,87,143,51,1,144,238,38,7,3,13,1,219,48,0,24,0,6,13,6,2,0,17,2,1,1,2,0,154,0,0,0,11,34,161,4,33,0,3,8,1,0,0,0,0,0
17,443,1399,1455,2173,426,1577,162,1590,642,321,226,52,749,687,1440,2172,498,672,1752,163,6,585,61,6,37,715,874,3,38,134,615,289,1015,4,1,20,33,1135,15,0,123,199,24,12,358,0,43,51,11,0,6,1,9,7,96,0,2,1,0,0,0,0,0,3,0,1,0,1,0,61,0,0,0,3,1,32,0,52,0,1,2,0,0,0,0,0,0
83,3451,3553,3802,8965,2943,24693,199,1402,3569,2478,917,104,847,3185,986,2287,1574,1695,1822,441,26,2768,110,95,97,805,445,3,123,194,1404,237,1154,13,9,275,348,324,139,0,239,104,91,147,46,2,186,236,36,6,0,42,17,203,50,2,30,4,6,0,50,2,0,10,1,6,0,0,0,168,0,0,0,15,11,72,3,58,0,6,5,0,0,0,1,0,0
61,2336,1430,1627,4817,1798,8126,103,1813,1748,1378,506,131,1620,1858,1182,1496,935,884,1572,230,15,1277,89,26,402,783,162,6,96,134,140,235,1676,30,6,168,190,125,45,0,200,107,40,76,65,2,113,43,24,5,1,5,5,22,62,0,36,2,6,5,2,0,0,3,0,3,3,0,0,127,0,0,1,15,9,28,10,18,0,0,4,0,0,0,0,0,0
