Neighborhood,Count_of_Evictions,Latitude,Longitude,Population,Evictions per Capita
"Jamaica, NY",2108,40.6914852,-73.8056771,53751,39.21787501627877
"Arverne, NY",359,40.5934173,-73.7895462,11510,31.19026933101651
"Springfield Gardens, NY",327,40.678159,-73.746521,18665,17.519421376908653
"Ozone Park, NY",355,40.67677,-73.84374609999999,21376,16.60741017964072
"Far Rockaway, NY",960,40.605382500000005,-73.75513259999998,60035,15.990672107937037
"Bronx, NY",21190,40.8466508,-73.87859370000001,1385108,15.298446041752701
"Fresh Meadows, NY",235,40.7348246,-73.79346679999999,17812,13.193352795867954
"Hollis, NY",251,40.7134361,-73.7670772,20269,12.383442695742266
"Flushing, NY",870,40.7654301,-73.8174291,72008,12.081990889901123
"Corona, NY",656,40.7469593,-73.8601456,57658,11.377432446494849
