Neighborhood,Count_of_Evictions,Latitude,Longitude,Population,Evictions per Capita
"Bronx, NY",21190,40.8466508,-73.87859370000001,1385108,15.298446041752701
"Brooklyn, NY",17364,40.6501038,-73.9495823,2504701,6.93256400664191
"New York, NY",7987,40.7127281,-74.0060152,1585873,5.03634275884639
"Jamaica, NY",2108,40.6914852,-73.8056771,53751,39.21787501627877
"Staten Island, NY",2046,40.5834557,-74.14960479999999,468730,4.3649862394128816
"Far Rockaway, NY",960,40.605382500000005,-73.75513259999998,60035,15.990672107937037
"Flushing, NY",870,40.7654301,-73.8174291,72008,12.081990889901123
"Corona, NY",656,40.7469593,-73.8601456,57658,11.377432446494849
"Astoria, NY",563,40.772014500000004,-73.9302673,78793,7.145304785958143
"Ridgewood, NY",427,40.7080556,-73.9141667,69317,6.160105024741405
"Queens Village, NY",413,40.72676920000001,-73.7415208,52504,7.866067347249733
"Arverne, NY",359,40.5934173,-73.7895462,11510,31.19026933101651
"Ozone Park, NY",355,40.67677,-73.84374609999999,21376,16.60741017964072
"Elmhurst, NY",343,40.7365804,-73.8783932,88427,3.878905764076583
"Springfield Gardens, NY",327,40.678159,-73.746521,18665,17.519421376908653
"Jackson Heights, NY",319,40.755656099999996,-73.8857755,108152,2.949552481692433
"Woodside, NY",305,40.745379799999995,-73.9054145,45099,6.762899399099759
"Saint Albans, NY",295,40.6984364,-73.7606881,48593,6.070833247587101
"South Ozone Park, NY",272,40.670103499999996,-73.8190231,75878,3.5847017580853477
"Hollis, NY",251,40.7134361,-73.7670772,20269,12.383442695742266
"Fresh Meadows, NY",235,40.7348246,-73.79346679999999,17812,13.193352795867954
"Rosedale, NY",230,40.6620479,-73.7354097,25063,9.176874276822408
"Richmond Hill, NY",216,40.699425299999994,-73.8309672,62982,3.4295513003715348
"South Richmond Hill, NY",212,40.699425299999994,-73.8309672,49306,4.299679552184318
"Forest Hills, NY",208,40.7195942,-73.84485529999999,83728,2.48423466462832
"Woodhaven, NY",200,40.6892698,-73.85791309999999,56674,3.5289550764018776
"Long Island City, NY",198,40.7415095,-73.9569751,20030,9.885172241637544
"East Elmhurst, NY",191,40.7612123,-73.8651358,23150,8.250539956803456
"Rego Park, NY",188,40.72293705,-73.86220651513041,28260,6.652512384996461
"Kew Gardens, NY",151,40.7139415,-73.830742,23278,6.4868115817510095
"Sunnyside, NY",141,40.7398242,-73.93541529999999,63271,2.228509111599311
"Rockaway Park, NY",135,40.5805104,-73.83615350000001,21354,6.322000561955606
"College Point, NY",122,40.7876014,-73.8459682,24275,5.025746652935118
"Maspeth, NY",119,40.723158000000005,-73.912637,30516,3.899593655787128
"Bayside, NY",110,40.768435100000005,-73.77707740000001,43808,2.5109569028487946
"Cambria Heights, NY",95,40.6945474,-73.73846529999999,18677,5.0864699898270604
"Howard Beach, NY",92,40.6578815,-73.83624590000001,26148,3.5184335322013154
"Middle Village, NY",72,40.7182153,-73.8786708876408,37929,1.8982836352131613
"Oakland Gardens, NY",64,40.753991,-73.765966,28237,2.2665297304954493
"Whitestone, NY",61,40.79454570000001,-73.81846740000002,30773,1.9822571734962466
"Bellerose, NY",40,40.724269,-73.7151313,25287,1.5818404713884604
"Little Neck, NY",32,40.7745338,-73.7412564,26148,1.2238029677221967
"Glen Oaks, NY",16,40.7470463,-73.7115199,29506,0.5422625906595269
"New Hyde Park, NY",8,40.7308451,-73.6805499,9712,0.8237232289950577
"Floral Park, NY",5,40.724699900000005,-73.7048024,15863,0.31519889049990546
"Roosevelt, NY",2,40.6781175,-73.5855381263943,16258,0.12301636117603641
"Carle Place, NY",1,40.7492729,-73.6037513,4981,0.2007628990162618
"Great Neck, NY",1,40.800656700000005,-73.7284647,9989,0.10011012113324658
