City,Count_of_Evictions,Latitude,Longitude
"Bronx, NY",21190,40.8466508,-73.8785937
"Brooklyn, NY",17364,40.6501038,-73.9495823
"New York, NY",7987,40.7127281,-74.0060152
"Jamaica, NY",2108,40.6914852,-73.8056771
"Staten Island, NY",2046,40.5834557,-74.1496048
"Far Rockaway, NY",960,40.6053825,-73.7551326
"Flushing, NY",870,40.7654301,-73.8174291
"Corona, NY",656,40.7469593,-73.8601456
"Astoria, NY",563,40.7720145,-73.9302673
"Ridgewood, NY",427,40.7080556,-73.9141667
"Queens Village, NY",413,40.7267692,-73.7415208
"Arverne, NY",359,40.5934173,-73.7895462
"Ozone Park, NY",355,40.67677,-73.8437461
"Elmhurst, NY",343,40.7365804,-73.8783932
"Springfield Gardens, NY",327,40.678159,-73.746521
"Jackson Heights, NY",319,40.7556561,-73.8857755
"Woodside, NY",305,40.7453798,-73.9054145
"Saint Albans, NY",295,40.6984364,-73.7606881
"South Ozone Park, NY",272,40.6701035,-73.8190231
"Hollis, NY",251,40.7134361,-73.7670772
"Fresh Meadows, NY",235,40.7348246,-73.7934668
"Rosedale, NY",230,40.6620479,-73.7354097
"Richmond Hill, NY",216,40.6994253,-73.8309672
"South Richmond Hill, NY",212,40.6994253,-73.8309672
"Forest Hills, NY",208,40.7195942,-73.8448553
"Woodhaven, NY",200,40.6892698,-73.8579131
"Long Island City, NY",198,40.7415095,-73.9569751
"East Elmhurst, NY",191,40.7612123,-73.8651358
"Rego Park, NY",188,40.72293705,-73.86220651513042
"Kew Gardens, NY",151,40.7139415,-73.830742
"Sunnyside, NY",141,40.7398242,-73.9354153
"Rockaway Park, NY",135,40.5805104,-73.8361535
"College Point, NY",122,40.7876014,-73.8459682
"Maspeth, NY",119,40.723158,-73.912637
"Bayside, NY",110,40.7684351,-73.7770774
"Cambria Heights, NY",95,40.6945474,-73.7384653
"Howard Beach, NY",92,40.6578815,-73.8362459
"Middle Village, NY",72,40.7182153,-73.87867088764077
"Oakland Gardens, NY",64,40.753991,-73.765966
"Whitestone, NY",61,40.7945457,-73.8184674
"Bellerose, NY",40,40.724269,-73.7151313
"Little Neck, NY",32,40.7745338,-73.7412564
"Glen Oaks, NY",16,40.7470463,-73.7115199
"New Hyde Park, NY",8,40.7308451,-73.6805499
"Floral Park, NY",5,40.7246999,-73.7048024
"Roosevelt, NY",2,40.6781175,-73.58553812639434
"Carle Place, NY",1,40.7492729,-73.6037513
"Great Neck, NY",1,40.8006567,-73.7284647
